trial_index,audio_filename,condition,position
1,ADR_long_grammatical/A1B1A3B3A2B2_67.wav,long_grammatical,0
2,ADR_long_grammatical/A3B3A1B1A2B2_315.wav,long_grammatical,0
3,ADR_long_grammatical/A3B3A1B1A2B2_273.wav,long_grammatical,0
4,ADR_long_grammatical/A3B3A1B1A2B2_289.wav,long_grammatical,0
5,ADR_long_replacement/A1B1A3B3A2B2_97.wav,long_replacement,-2
6,ADR_long_grammatical/A1B1A2B2A3B3_48.wav,long_grammatical,0
7,ADR_long_grammatical/A3B3A2B2A1B1_330.wav,long_grammatical,0
8,ADR_long_grammatical/A3B3A1B1A2B2_257.wav,long_grammatical,0
9,ADR_long_grammatical/A2B2A3B3A1B1_225.wav,long_grammatical,0
10,ADR_long_grammatical/A3B3A1B1A2B2_258.wav,long_grammatical,0
11,ADR_long_grammatical/A3B3A2B2A1B1_321.wav,long_grammatical,0
12,ADR_long_grammatical/A1B1A3B3A2B2_85.wav,long_grammatical,0
13,ADR_long_grammatical/A1B1A2B2A3B3_0.wav,long_grammatical,0
14,ADR_long_grammatical/A1B1A3B3A2B2_127.wav,long_grammatical,0
15,ADR_long_grammatical/A2B2A3B3A1B1_209.wav,long_grammatical,0
16,ADR_long_grammatical/A2B2A1B1A3B3_131.wav,long_grammatical,0
17,ADR_long_grammatical/A2B2A3B3A1B1_193.wav,long_grammatical,0
18,ADR_long_replacement/A3B3A2B2A1B1_53.wav,long_replacement,-1
19,ADR_long_grammatical/A1B1A3B3A2B2_100.wav,long_grammatical,0
20,ADR_long_grammatical/A1B1A2B2A3B3_49.wav,long_grammatical,0
21,ADR_long_grammatical/A3B3A1B1A2B2_260.wav,long_grammatical,0
22,ADR_long_grammatical/A1B1A3B3A2B2_118.wav,long_grammatical,0
23,ADR_long_grammatical/A2B2A1B1A3B3_157.wav,long_grammatical,0
24,ADR_long_grammatical/A3B3A2B2A1B1_343.wav,long_grammatical,0
25,ADR_long_replacement/A1B1A2B2A3B3_40.wav,long_replacement,0
26,ADR_long_replacement/A2B2A3B3A1B1_0.wav,long_replacement,-3
27,ADR_long_grammatical/A3B3A2B2A1B1_349.wav,long_grammatical,0
28,ADR_long_grammatical/A3B3A1B1A2B2_298.wav,long_grammatical,0
29,ADR_long_replacement/A3B3A1B1A2B2_23.wav,long_replacement,-2
30,ADR_long_grammatical/A1B1A2B2A3B3_27.wav,long_grammatical,0
31,ADR_long_grammatical/A3B3A1B1A2B2_278.wav,long_grammatical,0
32,ADR_long_grammatical/A1B1A2B2A3B3_26.wav,long_grammatical,0
33,ADR_long_grammatical/A3B3A2B2A1B1_336.wav,long_grammatical,0
34,ADR_long_grammatical/A3B3A1B1A2B2_277.wav,long_grammatical,0
35,ADR_long_grammatical/A1B1A2B2A3B3_33.wav,long_grammatical,0
36,ADR_long_replacement/A1B1A3B3A2B2_8.wav,long_replacement,-3
37,ADR_long_grammatical/A3B3A2B2A1B1_360.wav,long_grammatical,0
38,ADR_long_grammatical/A1B1A3B3A2B2_104.wav,long_grammatical,0
39,ADR_long_replacement/A1B1A3B3A2B2_44.wav,long_replacement,0
40,ADR_long_grammatical/A1B1A3B3A2B2_78.wav,long_grammatical,0
41,ADR_long_grammatical/A2B2A3B3A1B1_198.wav,long_grammatical,0
42,ADR_long_grammatical/A3B3A2B2A1B1_359.wav,long_grammatical,0
43,ADR_long_grammatical/A1B1A2B2A3B3_51.wav,long_grammatical,0
44,ADR_long_grammatical/A3B3A2B2A1B1_368.wav,long_grammatical,0
45,ADR_long_replacement/A3B3A2B2A1B1_20.wav,long_replacement,0
46,ADR_long_grammatical/A1B1A2B2A3B3_42.wav,long_grammatical,0
47,ADR_long_grammatical/A1B1A3B3A2B2_109.wav,long_grammatical,0
48,ADR_long_grammatical/A3B3A2B2A1B1_362.wav,long_grammatical,0
49,ADR_long_grammatical/A2B2A3B3A1B1_234.wav,long_grammatical,0
50,ADR_long_grammatical/A2B2A1B1A3B3_161.wav,long_grammatical,0
51,ADR_long_replacement/A2B2A1B1A3B3_30.wav,long_replacement,-2
52,ADR_long_grammatical/A1B1A3B3A2B2_115.wav,long_grammatical,0
53,ADR_long_grammatical/A3B3A2B2A1B1_340.wav,long_grammatical,0
54,ADR_long_grammatical/A2B2A1B1A3B3_140.wav,long_grammatical,0
55,ADR_long_grammatical/A1B1A3B3A2B2_86.wav,long_grammatical,0
56,ADR_long_grammatical/A1B1A3B3A2B2_111.wav,long_grammatical,0
57,ADR_long_grammatical/A1B1A3B3A2B2_90.wav,long_grammatical,0
58,ADR_long_grammatical/A3B3A2B2A1B1_350.wav,long_grammatical,0
59,ADR_long_grammatical/A2B2A1B1A3B3_136.wav,long_grammatical,0
60,ADR_long_replacement/A3B3A1B1A2B2_80.wav,long_replacement,-1
61,ADR_long_grammatical/A1B1A3B3A2B2_64.wav,long_grammatical,0
